alcohol,average_wages,cancer,education,employment_rate,gdp,happiness,hours_worked,life_at_birth,life_at_old,location,obese,pollution,smokers,social_spending,suicide,time
4.3,,151.9,,66.5,12841.3,6.6,99.1,73.9,,COL,,,13,,4.7,2013
4.3,29.6,155.1,,67.1,13535.7,6.4,97.3,74.1,,COL,,,,,4.8,2014
4.4,28.8,154.8,,67.6,13928,6.4,96.3,74.2,,COL,,,,,5.2,2015
4.5,30.2,,,67.2,14276.1,6.2,93.7,74.4,,COL,,,,,,2016
,31.3,,,66.9,14607,6.2,93.2,74.6,,COL,,,,,,2017
,,,,,,3.5,,,,COM,,,,,,2009
,,,,,,3.8,,,,COM,,,,,,2010
,,,,,,3.8,,,,COM,,,,,,2011
,,,,,,4,,,,COM,,,,,,2012
4.3,15.3,154.3,,,11792,7.4,,78.4,6.6,CRI,,2387,9.6,,6.4,2007
4.3,15.7,150.7,,,12404.8,6.9,,78.5,6.5,CRI,,2392,9.2,,6.3,2008
4.2,15.5,150.6,,,12191.2,7.6,,78.7,,CRI,,2348,8.7,,6.6,2009
3.7,15.9,170,,,12733.1,7.3,99.8,78.8,6.7,CRI,,2243.1,8.2,,7.1,2010
3.5,15.8,161.7,,,13428.9,7.2,99.8,79.1,7.2,CRI,,2285.3,7.7,,7.1,2011
3.4,15.9,158.7,,,14144.6,7.3,99.8,79.4,7.3,CRI,,2233.4,7.2,,6.7,2012
3.5,17,157.2,,,14512.5,7.2,99.8,79.6,,CRI,,2140.6,6.7,,7,2013
3.6,17,156,,,15098.9,7.2,99.7,79.8,,CRI,,2121.7,6.2,,5.8,2014
3.6,16.2,,,,15623.8,6.9,99.7,79.9,,CRI,,2148.2,5.8,,,2015
3.7,16.9,,,,16332.4,7.1,99.6,80.1,,CRI,,2204.7,5.2,,,2016
3.3,16.5,,,,17088.8,7.2,99.6,80.2,,CRI,,2178.9,4.7,,,2017
,,,,,,,99.7,,,CUB,,,,,,2010
,,,,,,,99.7,,,CUB,,,,,,2011
,,,,,,,99.7,,,CUB,,,,,,2012
,,,,,,,99.7,,,CUB,,,,,,2013
,,,,,,,99.7,,,CUB,,,,,,2014
,,,,,,,99.7,,,CUB,,,,,,2015
,,,,,,,99.7,,,CUB,,,,,,2016
,,,,,,,99.7,,,CUB,,,,,,2017
,,,,,32850,,,,,CYP,,,,,,2007
,,,,,34824,,,,,CYP,,,,,,2008
,,,,,33888.3,6.8,,,,CYP,,,,,,2009
,,,,,33230.6,6.4,99.6,,,CYP,,,,,,2010
,,,,,33192.4,6.7,99.6,,,CYP,,,,,,2011
,,,,,31914.7,6.2,99.6,,,CYP,,,,,,2012
,,,,,30620.7,5.4,99.6,,,CYP,,,,,,2013
,,,,,30390.5,5.6,99.6,,,CYP,,,,,,2014
,,,,,31578.3,5.4,99.6,,,CYP,,,,,,2015
,,,,,33682.4,5.8,99.6,,,CYP,,,,,,2016
,,,,,36155.7,6.1,99.6,,,CYP,,,,,,2017
12.1,76.8,261.1,22412.3,66.1,26064.5,6.5,,77,16.8,CZE,,1784,24,4924.9,12.7,2007
12.1,76.4,256.7,22423,66.5,27724.4,,,77.3,17.05,CZE,55.55,1790,21.8,5085.3,12.6,2008
12.1,75.9,253.1,22371.7,65.4,27474.2,,,77.4,17,CZE,,1779,23.8,5438.8,13.2,2009
11.4,75.2,250.3,22944.5,65,27554.7,6.2,100,77.7,17.25,CZE,55,1800,22.8,5439.7,13.5,2010
